"","id","medium","headline","date"
"1",111541965,"Speeches","Barack Obama",2013-02-12
"2",111541995,"Speeches","Barack Obama",2013-02-12
"3",111542001,"Speeches","Barack Obama",2013-02-12
"4",111542006,"Speeches","Barack Obama",2013-02-12
"5",111542013,"Speeches","Barack Obama",2013-02-12
"6",111542018,"Speeches","Barack Obama",2013-02-12
"7",111542020,"Speeches","Barack Obama",2013-02-12
"8",111542025,"Speeches","Barack Obama",2013-02-12
"9",111542032,"Speeches","Barack Obama",2013-02-12
"10",111542044,"Speeches","Barack Obama",2013-02-12
"11",111542057,"Speeches","Barack Obama",2014-01-28
"12",111542063,"Speeches","Barack Obama",2014-01-28
"13",111542064,"Speeches","Barack Obama",2014-01-28
"14",111542071,"Speeches","Barack Obama",2014-01-28
"15",111542088,"Speeches","Barack Obama",2014-01-28
"16",111542107,"Speeches","Barack Obama",2014-01-28
"17",111542114,"Speeches","Barack Obama",2014-01-28
"18",111542119,"Speeches","Barack Obama",2014-01-28
"19",111542126,"Speeches","Barack Obama",2014-01-28
"20",111542133,"Speeches","Barack Obama",2014-01-28
"21",111542139,"Speeches","Barack Obama",2009-02-24
"22",111542157,"Speeches","Barack Obama",2009-02-24
"23",111542164,"Speeches","Barack Obama",2009-02-24
"24",111542169,"Speeches","Barack Obama",2009-02-24
"25",111542177,"Speeches","Barack Obama",2009-02-24
"26",111542184,"Speeches","Barack Obama",2009-02-24
"27",111542189,"Speeches","Barack Obama",2009-02-24
"28",111542203,"Speeches","Barack Obama",2009-02-24
"29",111542204,"Speeches","Barack Obama",2009-02-24
"30",111542208,"Speeches","Barack Obama",2009-02-24
"31",111542253,"Speeches","Barack Obama",2010-01-27
"32",111542258,"Speeches","Barack Obama",2010-01-27
"33",111542260,"Speeches","Barack Obama",2010-01-27
"34",111542265,"Speeches","Barack Obama",2010-01-27
"35",111542272,"Speeches","Barack Obama",2010-01-27
"36",111542278,"Speeches","Barack Obama",2010-01-27
"37",111542284,"Speeches","Barack Obama",2010-01-27
"38",111542285,"Speeches","Barack Obama",2010-01-27
"39",111542289,"Speeches","Barack Obama",2010-01-27
"40",111542291,"Speeches","Barack Obama",2010-01-27
"41",111542304,"Speeches","Barack Obama",2011-01-25
"42",111542342,"Speeches","Barack Obama",2011-01-25
"43",111542347,"Speeches","Barack Obama",2011-01-25
"44",111542354,"Speeches","Barack Obama",2011-01-25
"45",111542359,"Speeches","Barack Obama",2011-01-25
"46",111542361,"Speeches","Barack Obama",2011-01-25
"47",111542373,"Speeches","Barack Obama",2011-01-25
"48",111542392,"Speeches","Barack Obama",2011-01-25
"49",111542397,"Speeches","Barack Obama",2011-01-25
"50",111542400,"Speeches","Barack Obama",2011-01-25
"51",111542412,"Speeches","Barack Obama",2012-01-24
"52",111542417,"Speeches","Barack Obama",2012-01-24
"53",111542429,"Speeches","Barack Obama",2012-01-24
"54",111542431,"Speeches","Barack Obama",2012-01-24
"55",111542467,"Speeches","Barack Obama",2012-01-24
"56",111542474,"Speeches","Barack Obama",2012-01-24
"57",111542479,"Speeches","Barack Obama",2012-01-24
"58",111542481,"Speeches","Barack Obama",2012-01-24
"59",111542486,"Speeches","Barack Obama",2012-01-24
"60",111542493,"Speeches","Barack Obama",2012-01-24
"61",111542519,"Speeches","George W. Bush",2005-02-02
"62",111542521,"Speeches","George W. Bush",2005-02-02
"63",111542526,"Speeches","George W. Bush",2005-02-02
"64",111542533,"Speeches","George W. Bush",2005-02-02
"65",111542540,"Speeches","George W. Bush",2005-02-02
"66",111542544,"Speeches","George W. Bush",2005-02-02
"67",111542545,"Speeches","George W. Bush",2005-02-02
"68",111542551,"Speeches","George W. Bush",2005-02-02
"69",111542552,"Speeches","George W. Bush",2005-02-02
"70",111542569,"Speeches","George W. Bush",2005-02-02
"71",111542576,"Speeches","George W. Bush",2006-01-31
"72",111542583,"Speeches","George W. Bush",2006-01-31
"73",111542588,"Speeches","George W. Bush",2006-01-31
"74",111542590,"Speeches","George W. Bush",2006-01-31
"75",111542595,"Speeches","George W. Bush",2006-01-31
"76",111542599,"Speeches","George W. Bush",2006-01-31
"77",111542602,"Speeches","George W. Bush",2006-01-31
"78",111542603,"Speeches","George W. Bush",2006-01-31
"79",111542619,"Speeches","George W. Bush",2006-01-31
"80",111542621,"Speeches","George W. Bush",2006-01-31
"81",111542646,"Speeches","George W. Bush",2007-01-23
"82",111542653,"Speeches","George W. Bush",2007-01-23
"83",111542658,"Speeches","George W. Bush",2007-01-23
"84",111542660,"Speeches","George W. Bush",2007-01-23
"85",111542665,"Speeches","George W. Bush",2007-01-23
"86",111542672,"Speeches","George W. Bush",2007-01-23
"87",111542684,"Speeches","George W. Bush",2007-01-23
"88",111542689,"Speeches","George W. Bush",2007-01-23
"89",111542691,"Speeches","George W. Bush",2007-01-23
"90",111542695,"Speeches","George W. Bush",2007-01-23
"91",111542703,"Speeches","George W. Bush",2008-01-28
"92",111542708,"Speeches","George W. Bush",2008-01-28
"93",111542709,"Speeches","George W. Bush",2008-01-28
"94",111542710,"Speeches","George W. Bush",2008-01-28
"95",111542711,"Speeches","George W. Bush",2008-01-28
"96",111542722,"Speeches","George W. Bush",2008-01-28
"97",111542723,"Speeches","George W. Bush",2008-01-28
"98",111542728,"Speeches","George W. Bush",2008-01-28
"99",111542735,"Speeches","George W. Bush",2008-01-28
"100",111542742,"Speeches","George W. Bush",2008-01-28
"101",111542773,"Speeches","George W. Bush",2001-02-27
"102",111542778,"Speeches","George W. Bush",2001-02-27
"103",111542780,"Speeches","George W. Bush",2001-02-27
"104",111542785,"Speeches","George W. Bush",2001-02-27
"105",111542797,"Speeches","George W. Bush",2001-02-27
"106",111542800,"Speeches","George W. Bush",2001-02-27
"107",111542823,"Speeches","George W. Bush",2001-02-27
"108",111542828,"Speeches","George W. Bush",2001-02-27
"109",111542830,"Speeches","George W. Bush",2001-02-27
"110",111542835,"Speeches","George W. Bush",2001-02-27
"111",111542843,"Speeches","George W. Bush",2002-01-29
"112",111542848,"Speeches","George W. Bush",2002-01-29
"113",111542850,"Speeches","George W. Bush",2002-01-29
"114",111542855,"Speeches","George W. Bush",2002-01-29
"115",111542862,"Speeches","George W. Bush",2002-01-29
"116",111542867,"Speeches","George W. Bush",2002-01-29
"117",111542880,"Speeches","George W. Bush",2002-01-29
"118",111542881,"Speeches","George W. Bush",2002-01-29
"119",111542885,"Speeches","George W. Bush",2002-01-29
"120",111542900,"Speeches","George W. Bush",2002-01-29
"121",111542918,"Speeches","George W. Bush",2003-01-28
"122",111542932,"Speeches","George W. Bush",2003-01-28
"123",111542937,"Speeches","George W. Bush",2003-01-28
"124",111542943,"Speeches","George W. Bush",2003-01-28
"125",111542948,"Speeches","George W. Bush",2003-01-28
"126",111542949,"Speeches","George W. Bush",2003-01-28
"127",111542955,"Speeches","George W. Bush",2003-01-28
"128",111542967,"Speeches","George W. Bush",2003-01-28
"129",111542979,"Speeches","George W. Bush",2003-01-28
"130",111542981,"Speeches","George W. Bush",2003-01-28
"131",111542987,"Speeches","George W. Bush",2004-01-20
"132",111542994,"Speeches","George W. Bush",2004-01-20
"133",111542999,"Speeches","George W. Bush",2004-01-20
"134",111543005,"Speeches","George W. Bush",2004-01-20
"135",111543012,"Speeches","George W. Bush",2004-01-20
"136",111543023,"Speeches","George W. Bush",2004-01-20
"137",111543024,"Speeches","George W. Bush",2004-01-20
"138",111543031,"Speeches","George W. Bush",2004-01-20
"139",111543035,"Speeches","George W. Bush",2004-01-20
"140",111543042,"Speeches","George W. Bush",2004-01-20
"141",111551832,"Speeches","Barack Obama",2013-02-12
"142",111551833,"Speeches","Barack Obama",2013-02-12
"143",111551834,"Speeches","Barack Obama",2013-02-12
"144",111551835,"Speeches","Barack Obama",2013-02-12
"145",111551836,"Speeches","Barack Obama",2013-02-12
"146",111551837,"Speeches","Barack Obama",2013-02-12
"147",111551838,"Speeches","Barack Obama",2013-02-12
"148",111551839,"Speeches","Barack Obama",2013-02-12
"149",111551840,"Speeches","Barack Obama",2013-02-12
"150",111551841,"Speeches","Barack Obama",2013-02-12
"151",111551842,"Speeches","Barack Obama",2013-02-12
"152",111551843,"Speeches","Barack Obama",2013-02-12
"153",111551844,"Speeches","Barack Obama",2013-02-12
"154",111551845,"Speeches","Barack Obama",2013-02-12
"155",111551846,"Speeches","Barack Obama",2013-02-12
"156",111551847,"Speeches","Barack Obama",2013-02-12
"157",111551848,"Speeches","Barack Obama",2013-02-12
"158",111551849,"Speeches","Barack Obama",2013-02-12
"159",111551850,"Speeches","Barack Obama",2013-02-12
"160",111551851,"Speeches","Barack Obama",2013-02-12
"161",111551852,"Speeches","Barack Obama",2013-02-12
"162",111551853,"Speeches","Barack Obama",2013-02-12
"163",111551854,"Speeches","Barack Obama",2013-02-12
"164",111551855,"Speeches","Barack Obama",2013-02-12
"165",111551856,"Speeches","Barack Obama",2013-02-12
"166",111551857,"Speeches","Barack Obama",2013-02-12
"167",111551858,"Speeches","Barack Obama",2013-02-12
"168",111551859,"Speeches","Barack Obama",2013-02-12
"169",111551860,"Speeches","Barack Obama",2013-02-12
"170",111551861,"Speeches","Barack Obama",2013-02-12
"171",111551862,"Speeches","Barack Obama",2013-02-12
"172",111551863,"Speeches","Barack Obama",2013-02-12
"173",111551864,"Speeches","Barack Obama",2013-02-12
"174",111551865,"Speeches","Barack Obama",2013-02-12
"175",111551866,"Speeches","Barack Obama",2013-02-12
"176",111551867,"Speeches","Barack Obama",2013-02-12
"177",111551868,"Speeches","Barack Obama",2013-02-12
"178",111551869,"Speeches","Barack Obama",2013-02-12
"179",111551870,"Speeches","Barack Obama",2013-02-12
"180",111551871,"Speeches","Barack Obama",2013-02-12
"181",111551872,"Speeches","Barack Obama",2013-02-12
"182",111551873,"Speeches","Barack Obama",2013-02-12
"183",111551874,"Speeches","Barack Obama",2013-02-12
"184",111551875,"Speeches","Barack Obama",2013-02-12
"185",111551876,"Speeches","Barack Obama",2013-02-12
"186",111551877,"Speeches","Barack Obama",2013-02-12
"187",111551878,"Speeches","Barack Obama",2013-02-12
"188",111551879,"Speeches","Barack Obama",2013-02-12
"189",111551880,"Speeches","Barack Obama",2013-02-12
"190",111551881,"Speeches","Barack Obama",2013-02-12
"191",111551882,"Speeches","Barack Obama",2013-02-12
"192",111551883,"Speeches","Barack Obama",2013-02-12
"193",111551884,"Speeches","Barack Obama",2013-02-12
"194",111551885,"Speeches","Barack Obama",2013-02-12
"195",111551886,"Speeches","Barack Obama",2013-02-12
"196",111551887,"Speeches","Barack Obama",2013-02-12
"197",111551888,"Speeches","Barack Obama",2013-02-12
"198",111551889,"Speeches","Barack Obama",2013-02-12
"199",111551890,"Speeches","Barack Obama",2013-02-12
"200",111551891,"Speeches","Barack Obama",2013-02-12
"201",111551892,"Speeches","Barack Obama",2013-02-12
"202",111551893,"Speeches","Barack Obama",2013-02-12
"203",111551894,"Speeches","Barack Obama",2013-02-12
"204",111551895,"Speeches","Barack Obama",2013-02-12
"205",111551896,"Speeches","Barack Obama",2013-02-12
"206",111551897,"Speeches","Barack Obama",2013-02-12
"207",111551898,"Speeches","Barack Obama",2013-02-12
"208",111551899,"Speeches","Barack Obama",2013-02-12
"209",111551900,"Speeches","Barack Obama",2013-02-12
"210",111551901,"Speeches","Barack Obama",2013-02-12
"211",111551902,"Speeches","Barack Obama",2013-02-12
"212",111551903,"Speeches","Barack Obama",2013-02-12
"213",111551904,"Speeches","Barack Obama",2013-02-12
"214",111551905,"Speeches","Barack Obama",2013-02-12
"215",111551906,"Speeches","Barack Obama",2013-02-12
"216",111551907,"Speeches","Barack Obama",2013-02-12
"217",111551908,"Speeches","Barack Obama",2013-02-12
"218",111551909,"Speeches","Barack Obama",2013-02-12
"219",111551910,"Speeches","Barack Obama",2013-02-12
"220",111551911,"Speeches","Barack Obama",2013-02-12
"221",111551912,"Speeches","Barack Obama",2013-02-12
"222",111551913,"Speeches","Barack Obama",2013-02-12
"223",111551914,"Speeches","Barack Obama",2014-01-28
"224",111551915,"Speeches","Barack Obama",2014-01-28
"225",111551916,"Speeches","Barack Obama",2014-01-28
"226",111551917,"Speeches","Barack Obama",2014-01-28
"227",111551918,"Speeches","Barack Obama",2014-01-28
"228",111551919,"Speeches","Barack Obama",2014-01-28
"229",111551920,"Speeches","Barack Obama",2014-01-28
"230",111551921,"Speeches","Barack Obama",2014-01-28
"231",111551922,"Speeches","Barack Obama",2014-01-28
"232",111551923,"Speeches","Barack Obama",2014-01-28
"233",111551924,"Speeches","Barack Obama",2014-01-28
"234",111551925,"Speeches","Barack Obama",2014-01-28
"235",111551926,"Speeches","Barack Obama",2014-01-28
"236",111551927,"Speeches","Barack Obama",2014-01-28
"237",111551928,"Speeches","Barack Obama",2014-01-28
"238",111551929,"Speeches","Barack Obama",2014-01-28
"239",111551930,"Speeches","Barack Obama",2014-01-28
"240",111551931,"Speeches","Barack Obama",2014-01-28
"241",111551932,"Speeches","Barack Obama",2014-01-28
"242",111551933,"Speeches","Barack Obama",2014-01-28
"243",111551934,"Speeches","Barack Obama",2014-01-28
"244",111551935,"Speeches","Barack Obama",2014-01-28
"245",111551936,"Speeches","Barack Obama",2014-01-28
"246",111551937,"Speeches","Barack Obama",2014-01-28
"247",111551938,"Speeches","Barack Obama",2014-01-28
"248",111551939,"Speeches","Barack Obama",2014-01-28
"249",111551940,"Speeches","Barack Obama",2014-01-28
"250",111551941,"Speeches","Barack Obama",2014-01-28
"251",111551942,"Speeches","Barack Obama",2014-01-28
"252",111551943,"Speeches","Barack Obama",2014-01-28
"253",111551944,"Speeches","Barack Obama",2014-01-28
"254",111551945,"Speeches","Barack Obama",2014-01-28
"255",111551946,"Speeches","Barack Obama",2014-01-28
"256",111551947,"Speeches","Barack Obama",2014-01-28
"257",111551948,"Speeches","Barack Obama",2014-01-28
"258",111551949,"Speeches","Barack Obama",2014-01-28
"259",111551950,"Speeches","Barack Obama",2014-01-28
"260",111551951,"Speeches","Barack Obama",2014-01-28
"261",111551952,"Speeches","Barack Obama",2014-01-28
"262",111551953,"Speeches","Barack Obama",2014-01-28
"263",111551954,"Speeches","Barack Obama",2014-01-28
"264",111551955,"Speeches","Barack Obama",2014-01-28
"265",111551956,"Speeches","Barack Obama",2014-01-28
"266",111551957,"Speeches","Barack Obama",2014-01-28
"267",111551958,"Speeches","Barack Obama",2014-01-28
"268",111551959,"Speeches","Barack Obama",2014-01-28
"269",111551960,"Speeches","Barack Obama",2014-01-28
"270",111551961,"Speeches","Barack Obama",2014-01-28
"271",111551962,"Speeches","Barack Obama",2014-01-28
"272",111551963,"Speeches","Barack Obama",2014-01-28
"273",111551964,"Speeches","Barack Obama",2014-01-28
"274",111551965,"Speeches","Barack Obama",2014-01-28
"275",111551966,"Speeches","Barack Obama",2014-01-28
"276",111551967,"Speeches","Barack Obama",2014-01-28
"277",111551968,"Speeches","Barack Obama",2014-01-28
"278",111551969,"Speeches","Barack Obama",2014-01-28
"279",111551970,"Speeches","Barack Obama",2014-01-28
"280",111551971,"Speeches","Barack Obama",2014-01-28
"281",111551972,"Speeches","Barack Obama",2014-01-28
"282",111551973,"Speeches","Barack Obama",2014-01-28
"283",111551974,"Speeches","Barack Obama",2014-01-28
"284",111551975,"Speeches","Barack Obama",2014-01-28
"285",111551976,"Speeches","Barack Obama",2014-01-28
"286",111551977,"Speeches","Barack Obama",2014-01-28
"287",111551978,"Speeches","Barack Obama",2014-01-28
"288",111551979,"Speeches","Barack Obama",2014-01-28
"289",111551980,"Speeches","Barack Obama",2014-01-28
"290",111551981,"Speeches","Barack Obama",2014-01-28
"291",111551982,"Speeches","Barack Obama",2014-01-28
"292",111551983,"Speeches","Barack Obama",2014-01-28
"293",111551984,"Speeches","Barack Obama",2014-01-28
"294",111551985,"Speeches","Barack Obama",2014-01-28
"295",111551986,"Speeches","Barack Obama",2014-01-28
"296",111551987,"Speeches","Barack Obama",2009-02-24
"297",111551988,"Speeches","Barack Obama",2009-02-24
"298",111551989,"Speeches","Barack Obama",2009-02-24
"299",111551990,"Speeches","Barack Obama",2009-02-24
"300",111551991,"Speeches","Barack Obama",2009-02-24
"301",111551992,"Speeches","Barack Obama",2009-02-24
"302",111551993,"Speeches","Barack Obama",2009-02-24
"303",111551994,"Speeches","Barack Obama",2009-02-24
"304",111551995,"Speeches","Barack Obama",2009-02-24
"305",111551996,"Speeches","Barack Obama",2009-02-24
"306",111551997,"Speeches","Barack Obama",2009-02-24
"307",111551998,"Speeches","Barack Obama",2009-02-24
"308",111551999,"Speeches","Barack Obama",2009-02-24
"309",111552000,"Speeches","Barack Obama",2009-02-24
"310",111552001,"Speeches","Barack Obama",2009-02-24
"311",111552002,"Speeches","Barack Obama",2009-02-24
"312",111552003,"Speeches","Barack Obama",2009-02-24
"313",111552004,"Speeches","Barack Obama",2009-02-24
"314",111552005,"Speeches","Barack Obama",2009-02-24
"315",111552006,"Speeches","Barack Obama",2009-02-24
"316",111552007,"Speeches","Barack Obama",2009-02-24
"317",111552008,"Speeches","Barack Obama",2009-02-24
"318",111552009,"Speeches","Barack Obama",2009-02-24
"319",111552010,"Speeches","Barack Obama",2009-02-24
"320",111552011,"Speeches","Barack Obama",2009-02-24
"321",111552012,"Speeches","Barack Obama",2009-02-24
"322",111552013,"Speeches","Barack Obama",2009-02-24
"323",111552014,"Speeches","Barack Obama",2009-02-24
"324",111552015,"Speeches","Barack Obama",2009-02-24
"325",111552016,"Speeches","Barack Obama",2009-02-24
"326",111552017,"Speeches","Barack Obama",2009-02-24
"327",111552018,"Speeches","Barack Obama",2009-02-24
"328",111552019,"Speeches","Barack Obama",2009-02-24
"329",111552020,"Speeches","Barack Obama",2009-02-24
"330",111552021,"Speeches","Barack Obama",2009-02-24
"331",111552022,"Speeches","Barack Obama",2009-02-24
"332",111552023,"Speeches","Barack Obama",2009-02-24
"333",111552024,"Speeches","Barack Obama",2009-02-24
"334",111552025,"Speeches","Barack Obama",2009-02-24
"335",111552026,"Speeches","Barack Obama",2009-02-24
"336",111552027,"Speeches","Barack Obama",2009-02-24
"337",111552028,"Speeches","Barack Obama",2009-02-24
"338",111552029,"Speeches","Barack Obama",2009-02-24
"339",111552030,"Speeches","Barack Obama",2009-02-24
"340",111552031,"Speeches","Barack Obama",2009-02-24
"341",111552032,"Speeches","Barack Obama",2009-02-24
"342",111552033,"Speeches","Barack Obama",2009-02-24
"343",111552034,"Speeches","Barack Obama",2009-02-24
"344",111552035,"Speeches","Barack Obama",2009-02-24
"345",111552036,"Speeches","Barack Obama",2009-02-24
"346",111552037,"Speeches","Barack Obama",2009-02-24
"347",111552038,"Speeches","Barack Obama",2009-02-24
"348",111552039,"Speeches","Barack Obama",2009-02-24
"349",111552040,"Speeches","Barack Obama",2009-02-24
"350",111552041,"Speeches","Barack Obama",2009-02-24
"351",111552042,"Speeches","Barack Obama",2009-02-24
"352",111552043,"Speeches","Barack Obama",2009-02-24
"353",111552044,"Speeches","Barack Obama",2009-02-24
"354",111552045,"Speeches","Barack Obama",2009-02-24
"355",111552046,"Speeches","Barack Obama",2009-02-24
"356",111552047,"Speeches","Barack Obama",2009-02-24
"357",111552048,"Speeches","Barack Obama",2009-02-24
"358",111552049,"Speeches","Barack Obama",2009-02-24
"359",111552050,"Speeches","Barack Obama",2009-02-24
"360",111552051,"Speeches","Barack Obama",2010-01-27
"361",111552052,"Speeches","Barack Obama",2010-01-27
"362",111552053,"Speeches","Barack Obama",2010-01-27
"363",111552054,"Speeches","Barack Obama",2010-01-27
"364",111552055,"Speeches","Barack Obama",2010-01-27
"365",111552056,"Speeches","Barack Obama",2010-01-27
"366",111552057,"Speeches","Barack Obama",2010-01-27
"367",111552058,"Speeches","Barack Obama",2010-01-27
"368",111552059,"Speeches","Barack Obama",2010-01-27
